MSG,7,1,1,4249B5,1,2018/04/03,19:02:28.405,2018/04/10,21:24:39.439,,7000,,,,,,,,,,
MSG,8,1,1,4CAAAE,1,2018/04/03,19:02:28.406,2018/04/10,21:24:39.439,,,,,,,,,,,,0
MSG,4,1,1,71BE34,1,2018/04/03,19:02:28.426,2018/04/10,21:24:39.439,,,514,65,,,0,,,,,0
MSG,8,1,1,71BE34,1,2018/04/03,19:02:28.432,2018/04/10,21:24:39.439,,,,,,,,,,,,0
MSG,8,1,1,4CAAAE,1,2018/04/03,19:02:28.432,2018/04/10,21:24:39.439,,,,,,,,,,,,0
MSG,4,1,1,4249B5,1,2018/04/03,19:02:28.439,2018/04/10,21:24:39.439,,,226,316,,,0,,,,,0
MSG,8,1,1,71BE34,1,2018/04/03,19:02:28.451,2018/04/10,21:24:39.439,,,,,,,,,,,,0
MSG,8,1,1,71BE34,1,2018/04/03,19:02:28.451,2018/04/10,21:24:39.439,,,,,,,,,,,,0
MSG,8,1,1,4CAAAE,1,2018/04/03,19:02:28.458,2018/04/10,21:24:39.439,,,,,,,,,,,,0
MSG,8,1,1,780C5D,1,2018/04/03,19:02:28.482,2018/04/10,21:24:39.439,,,,,,,,,,,,0
MSG,8,1,1,4CAAAE,1,2018/04/03,19:02:28.483,2018/04/10,21:24:39.439,,,,,,,,,,,,0
MSG,8,1,1,42460C,1,2018/04/03,19:02:28.485,2018/04/10,21:24:39.439,,,,,,,,,,,,0
MSG,3,1,1,71BE34,1,2018/04/03,19:02:28.501,2018/04/10,21:24:39.439,,35000,,,,,,,,,,0
MSG,8,1,1,4CAAAE,1,2018/04/03,19:02:28.509,2018/04/10,21:24:39.439,,,,,,,,,,,,0
MSG,8,1,1,42460C,1,2018/04/03,19:02:28.511,2018/04/10,21:24:39.439,,,,,,,,,,,,0
MSG,8,1,1,780C5D,1,2018/04/03,19:02:28.513,2018/04/10,21:24:39.439,,,,,,,,,,,,0
MSG,3,1,1,780C5D,1,2018/04/03,19:02:28.517,2018/04/10,21:24:39.439,,31000,,,,,,,,,,0
MSG,1,1,1,424263,1,2018/04/03,19:02:28.521,2018/04/10,21:24:39.440,UTA470  ,,,,,,,,,,,0
MSG,8,1,1,4CAAAE,1,2018/04/03,19:02:28.535,2018/04/10,21:24:39.440,,,,,,,,,,,,0
